,time,O,C,H,L,volume,amount,r_1,r_5,r_10,k,rsi
122,2016/5/23,5554.103,5603.348000000001,5650.924,5547.431,15421,17302724080.0,-0.017538264623221868,-0.009195930718563464,0.05308022989112915,25.20983463,49.32906745
123,2016/5/24,5543.781,5505.075,5553.215,5452.334,15990,17764210320.0,-0.006893457400671129,0.06646412628347485,0.07797841083000688,27.75456508,42.43019267
124,2016/5/25,5560.335,5467.126,5586.562,5460.6359999999995,15750,17581659240.0,0.01370061710668462,0.06869038686871305,0.08095130787181401,29.08916133,39.99992992
125,2016/5/26,5464.573,5542.029,5542.143,5376.975,18891,20793762520.0,0.002387573215513499,0.05872722787989721,0.017014526629146126,34.56445562,46.76990211
126,2016/5/27,5529.593000000003,5555.2609999999995,5586.852,5492.6269999999995,16462,18372486360.0,-0.0006194128412688088,0.06755812193162497,0.011632936778308114,39.89797034,47.93735723
127,2016/5/30,5519.727,5551.82,5608.196,5449.118,18320,20422564440.0,0.057484752747747676,0.06285416313929486,0.045885313284652486,44.1360266,47.63173091
128,2016/5/31,5569.7019999999975,5870.965,5875.8409999999985,5569.7019999999975,22427,25864907720.0,-0.004820331921583621,0.010796691855597795,-0.017001804643699967,53.28757206,68.55195703
129,2016/6/1,5861.574000000001,5842.665,5914.983,5835.6709999999985,16546,19522488240.0,0.0042501153155280035,0.01147284672319896,-0.012859029227244656,58.88103596,65.92473107
130,2016/6/2,5851.655,5867.4969999999985,5874.8369999999995,5829.9140000000025,14844,17473504600.0,0.01074853553397657,-0.03939891234712159,-0.011500815424362343,64.29490768,67.16686298
131,2016/6/3,5867.969,5930.564,5945.169,5844.188,18156,21516058480.0,-0.005022962402901422,-0.052386079974855684,-0.04073693496942293,69.8261188,70.26395851
132,2016/6/6,5942.6709999999985,5900.775,5967.219,5883.852,14916,17775624840.0,0.005690269498498117,-0.015965360482309617,-0.010419478797276659,73.0159124,66.91013352
133,2016/6/7,5904.236,5934.352,5937.855,5868.253000000002,14334,17049051520.0,-0.0041546237904324925,-0.027501570516882,-0.019901920209653968,76.58519781,68.79864545
134,2016/6/8,5916.249,5909.696999999999,5939.109,5849.275,15753,18716626920.0,-0.0462583783906347,-0.02405588645238473,-0.03202059259552547,78.86342131,65.70113204
135,2016/6/13,5838.576,5636.324000000001,5882.217,5628.834,21498,25096644720.0,-0.002916617284599023,0.02904233326544022,0.04659011795631316,73.04273211,42.07263319
136,2016/6/14,5644.047,5619.885,5667.985,5592.359,19560,22224965640.0,0.033218117452581124,0.012293134112174774,0.06257939441821324,67.72797122,41.07333402
137,2016/6/15,5572.273,5806.566999999999,5842.059,5563.806,22497,26114927680.0,-0.006099817671956419,0.005635860225155478,0.030525265617360693,67.93866707,54.79148688
138,2016/6/16,5793.459,5771.148,5819.4969999999985,5745.5859999999975,20262,23704418360.0,-0.0006262185617141648,0.007814563064402308,0.03620215596619596,66.97486164,52.19777265
139,2016/6/17,5770.728,5767.534000000002,5867.654,5742.599,21567,25282049040.0,0.005631869703758844,-0.00816102687907872,0.034217917050857284,64.22923459,51.91566685
140,2016/6/20,5768.235,5800.016,5816.153,5679.744000000002,15953,18435992720.0,-0.019145636839622525,0.017052539165409157,0.04962020794425407,63.28317839,54.40718168
141,2016/6/21,5804.929,5688.971,5885.373000000001,5652.161,18351,21391248640.0,0.0264232318990552,0.04967559159644178,0.07775307696242433,57.90706803,45.36645293
142,2016/6/22,5678.446,5839.2919999999995,5839.78,5672.147,16776,19487606720.0,-0.003946540094244315,0.024749918312014684,0.05294991242088947,59.63736096,56.39983192
143,2016/6/23,5821.6169999999975,5816.2469999999985,5833.9,5755.793000000002,16449,19206731520.0,-0.016468007634476194,0.028167476381247333,0.06424727147935788,60.12718706,54.50152101
144,2016/6/24,5801.898,5720.465,5863.392,5588.038000000001,22084,25555229000.0,0.031196065354826788,0.04272764539246365,0.07941312463235065,57.06299018,47.09043363
145,2016/6/27,5737.359,5898.9209999999985,5909.294,5735.971,17277,20308465000.0,0.012316320221952651,0.03202161886894247,0.04273205218378093,62.43446718,58.82583383
146,2016/6/28,5882.941999999999,5971.574000000001,5975.528,5856.834,16906,20135006160.0,0.0020497108467549393,0.026748726550152282,0.04815062159490945,68.53532986,62.62286872
147,2016/6/29,5992.9630000000025,5983.814,6008.22,5946.049,14500,17453594760.0,-0.0006246851924208011,0.027518903495329167,0.05334808200923363,72.86415385,63.26493661
148,2016/6/30,5979.125,5980.076,5993.014,5951.722,12887,15513559320.0,-0.0025399342750828426,0.03509136004291587,0.05621617517904465,76.33132258,62.8937495
149,2016/7/1,5985.217,5964.887,6031.93,5942.174,15197,18329424240.0,0.02060843734340661,0.03518222558113845,0.05364259205580939,77.75886072,61.25094819
150,2016/7/4,5943.884,6087.814,6126.871,5937.0,17690,21591770200.0,0.007144107885030534,0.010378109449467458,0.02413772825516678,80.25764352,68.6957268
151,2016/7/5,6095.316,6131.306,6146.521,6093.307,13592,16750702600.0,0.0028013607541362943,0.020844335611369055,0.01113155989931023,83.09397888,70.91957949
152,2016/7/6,6119.579000000002,6148.482,6176.559,6091.306,14496,17912383920.0,0.006740362905835979,0.02513742416420845,0.0066304170687984144,85.11652026,71.80933938
153,2016/7/7,6153.406999999997,6189.925,6203.925,6093.938,17468,21657808800.0,-0.0024523722016018433,0.02040864792384406,0.006032867926509585,87.21824284,73.97110925
154,2016/7/8,6174.8319999999985,6174.745,6205.603,6134.934,14658,18255975720.0,-0.003846474631745812,0.01783296314260759,0.0028467572345093487,88.51574887,71.70527356
155,2016/7/11,6188.7159999999985,6150.994000000002,6257.89,6146.965,17864,22371965200.0,0.017576833923102473,0.013618286735444648,0.009269070982673714,87.77009873,68.03690076
156,2016/7/12,6161.596,6259.109,6267.391,6118.467,20988,26237198040.0,0.007018570854094455,-0.009514453255247765,0.00779040595075106,89.54867128,74.6723924
157,2016/7/13,6298.882,6303.0390000000025,6333.6269999999995,6248.481,19884,25293357000.0,0.002096449030380415,-0.018053196243907242,-0.04441889063355011,90.22133229,76.86758661
158,2016/7/14,6290.685,6316.253000000002,6319.159000000002,6278.84,16337,20783287840.0,-0.004970351884257997,-0.014088257705953287,-0.04341355547347472,91.12103723,77.52671639
159,2016/7/15,6299.078,6284.859,6324.149,6245.361,17493,22193776240.0,-0.00797138010574305,-0.014723639782531325,-0.04136162800151938,90.5515838,72.04028119
160,2016/7/18,6280.751,6234.76,6302.54,6223.896,13769,17239249840.0,-0.005646247810661586,-0.004290782644400025,-0.04593023628816514,87.97182875,63.91934474
161,2016/7/19,6211.196,6199.557,6225.209,6146.53,14633,18263077240.0,-0.001662699447718602,0.01747108704702612,-0.03142127735901126,84.34276731,58.68943966
162,2016/7/20,6214.424,6189.249,6263.774,6188.103,14603,18306602560.0,0.006142748498242715,-0.026850430480337792,-0.025392095228354904,77.02208956,57.14909428
163,2016/7/21,6197.896,6227.268,6296.7419999999975,6194.401,15725,19788157520.0,-0.005611610099324409,-0.02974434374753112,-0.022238805203180605,73.53644465,61.35736506
164,2016/7/22,6218.481,6192.323,6249.8369999999995,6180.611,13502,16915660960.0,0.0025329751048193704,-0.027036057389125383,-0.019972472366186385,68.12152721,55.70092778
